``	O
The	B-NP
shareholders	I-NP
effectively	B-ADVP
will	B-VP
support	I-VP
the	B-NP
share	I-NP
price	I-NP
by	B-PP
clearing	B-VP
the	B-NP
share	I-NP
buy-back	I-NP
.	O
''	O

But	O
B.A.T	B-NP
's	B-NP
restructuring	I-NP
,	O
which	B-NP
was	B-VP
never	I-VP
going	I-VP
to	I-VP
happen	I-VP
quickly	B-ADVP
,	O
now	B-ADVP
will	B-VP
take	I-VP
longer	B-ADVP
because	B-PP
of	I-PP
the	B-NP
market	I-NP
upheaval	I-NP
.	O

Company	B-NP
officials	I-NP
,	I-NP
holders	I-NP
and	I-NP
analysts	I-NP
who	B-NP
previously	B-ADVP
expected	B-VP
the	B-NP
disposals	I-NP
to	B-VP
be	I-VP
substantially	B-ADJP
complete	I-ADJP
by	B-PP
the	B-NP
end	I-NP
of	B-PP
next	B-NP
year	I-NP
's	I-NP
first	B-NP
half	I-NP
now	B-ADVP
say	B-VP
the	B-NP
market	I-NP
gyrations	I-NP
could	B-VP
delay	I-VP
the	B-NP
actions	I-NP
well	B-ADVP
into	B-PP
the	B-NP
second	I-NP
half	I-NP
.	O

``	O
We	B-NP
are	B-VP
n't	O
forced	B-NP
sellers	I-NP
.	O

We	B-NP
do	B-VP
n't	I-VP
have	I-VP
an	B-NP
absolute	I-NP
deadline	I-NP
and	O
if	B-SBAR
market	B-NP
conditions	I-NP
are	B-VP
truly	B-ADJP
awful	I-ADJP
we	B-NP
might	B-VP
decide	I-VP
it	B-NP
is	B-VP
not	O
the	B-NP
right	I-NP
time	I-NP
,	O
''	O
to	B-VP
take	I-VP
particular	B-NP
steps	I-NP
,	O
said	B-VP
Michael	B-NP
Prideaux	I-NP
,	O
a	B-NP
B.A.T	I-NP
spokesman	I-NP
.	O

Even	B-SBAR
if	I-SBAR
B.A.T	B-NP
receives	B-VP
approval	B-NP
for	B-PP
the	B-NP
restructuring	I-NP
,	O
the	B-NP
company	I-NP
will	B-VP
remain	I-VP
in	B-PP
play	B-NP
,	O
say	B-VP
shareholders	B-NP
and	I-NP
analysts	I-NP
,	O
though	B-SBAR
the	B-NP
situation	I-NP
may	B-VP
unfold	I-VP
over	B-PP
the	B-NP
next	I-NP
12	I-NP
months	I-NP
,	O
rather	B-PP
than	I-PP
six	B-NP
.	O

The	B-NP
new	I-NP
B.A.T	I-NP
will	B-VP
be	I-VP
a	B-NP
smaller	I-NP
tobacco	I-NP
and	I-NP
financial-services	I-NP
hybrid	I-NP
whose	B-NP
price-earnings	I-NP
ratio	I-NP
may	O
more	B-ADVP
closely	I-ADVP
reflect	B-VP
the	B-NP
lower-growth	I-NP
tobacco	I-NP
business	I-NP
than	B-PP
the	B-NP
higher-multiple	I-NP
financial-services	I-NP
business	I-NP
,	O
these	B-NP
holders	I-NP
believe	B-VP
.	O

Thus	B-ADVP
B.A.T	B-NP
's	B-NP
restructuring	I-NP
may	B-VP
only	I-VP
make	I-VP
the	B-NP
company	I-NP
a	B-NP
more	I-NP
manageable	I-NP
target	I-NP
for	B-PP
other	B-NP
corporate	I-NP
predators	I-NP
--	O
possibly	B-ADVP
such	B-NP
acquisitive	I-NP
bidders	I-NP
as	B-PP
Hanson	B-NP
PLC	I-NP
.	O

``	O
The	B-NP
last	I-NP
few	I-NP
days	I-NP
will	B-VP
surely	I-VP
slow	I-VP
down	B-PRT
the	B-NP
pace	I-NP
of	B-PP
events	B-NP
,	O
''	O
says	B-VP
Scottish	B-NP
Amicable	I-NP
's	B-NP
Mr.	I-NP
Gilchrist	I-NP
.	O

``	O
But	O
I	B-NP
would	B-VP
n't	I-VP
write	I-VP
off	B-PRT
''	O
Sir	B-NP
James	I-NP
or	O
